#proteinId,ecNum,definition,catalyticActivity,cofactors,associatedDiseases,pathway,pathway_class,pathway_type
6,4.4.1.14,1-aminocyclopropane-1-carboxylate synthase.,S-adenosyl-L-methionine = 1-aminocyclopropane-1-carboxylate + methylthioadenosine.,Pyridoxal-phosphate.,\N,Propanoate metabolism,Carbohydrate Metabolism,METABOLIC
3628,4.1.1.15,Glutamate decarboxylase.,L-glutamate = 4-aminobutanoate + CO(2).,Pyridoxal-phosphate.,Pyridoxine-dependent infantile convulsions; MIM:266100.,Glutamate metabolism,Amino Acid Metabolism,METABOLIC
3628,4.1.1.15,Glutamate decarboxylase.,L-glutamate = 4-aminobutanoate + CO(2).,Pyridoxal-phosphate.,Pyridoxine-dependent infantile convulsions; MIM:266100.,Butanoate metabolism,Carbohydrate Metabolism,METABOLIC
3629,3.1.1.4,Phospholipase A2.,Phosphatidylcholine + H(2)O = 1-acylglycerophosphocholine + a fatty acid anion.,Calcium.,\N,Phospholipid degradation,Metabolism of Complex Lipids,METABOLIC
3629,3.1.1.4,Phospholipase A2.,Phosphatidylcholine + H(2)O = 1-acylglycerophosphocholine + a fatty acid anion.,Calcium.,\N,Prostaglandin and leukotriene metabolism,Metabolism of Complex Lipids,METABOLIC
3629,3.1.1.4,Phospholipase A2.,Phosphatidylcholine + H(2)O = 1-acylglycerophosphocholine + a fatty acid anion.,Calcium.,\N,Glycerolipid metabolism,Metabolism of Complex Lipids,METABOLIC
3633,3.4.16.5,Carboxypeptidase C.,Release of a C-terminal amino acid with a broad specificity.,\N,\N,\N,\N,\N
3635,1.1.1.1,Alcohol dehydrogenase.,An alcohol + NAD(+) = an aldehyde or ketone + NADH.,Zinc or Iron.,\N,Bile acid biosynthesis,Lipid Metabolism,METABOLIC
3635,1.1.1.1,Alcohol dehydrogenase.,An alcohol + NAD(+) = an aldehyde or ketone + NADH.,Zinc or Iron.,\N,Tyrosine metabolism,Amino Acid Metabolism,METABOLIC
3635,1.1.1.1,Alcohol dehydrogenase.,An alcohol + NAD(+) = an aldehyde or ketone + NADH.,Zinc or Iron.,\N,Glycerolipid metabolism,Metabolism of Complex Lipids,METABOLIC
3635,1.1.1.1,Alcohol dehydrogenase.,An alcohol + NAD(+) = an aldehyde or ketone + NADH.,Zinc or Iron.,\N,Glycolysis / Gluconeogenesis,Carbohydrate Metabolism,METABOLIC
3635,1.1.1.1,Alcohol dehydrogenase.,An alcohol + NAD(+) = an aldehyde or ketone + NADH.,Zinc or Iron.,\N,Fatty acid metabolism,Lipid Metabolism,METABOLIC
3637,3.4.13.9,Xaa-Pro dipeptidase.,Hydrolysis of Xaa-|-Pro dipeptides; also acts on aminoacyl- hydroxyproline analogs. No action on Pro-|-Pro.,Manganese.,Prolidase deficiency; MIM:170100.,\N,\N,\N
3642,3.5.99.5,2-aminomuconate deaminase.,2-aminomuconate + H(2)O = 4-oxalocrotonate + NH(3).,\N,\N,Tryptophan metabolism,Amino Acid Metabolism,METABOLIC
3645,3.4.24.64,Mitochondrial processing peptidase.,"Release of N-terminal transit peptides from precursor proteins imported into the mitochondrion, typically with Arg in position P2.",Zinc.,\N,\N,\N,\N
3649,1.5.1.7,"Saccharopine dehydrogenase (NAD+, L-lysine forming).","N6-(L-1,3-dicarboxypropyl)-L-lysine + NAD(+) + H(2)O = L-lysine + 2-oxoglutarate + NADH.",\N,Saccharopinuria; MIM:268700.,Lysine biosynthesis,Amino Acid Metabolism,METABOLIC
3649,1.5.1.7,"Saccharopine dehydrogenase (NAD+, L-lysine forming).","N6-(L-1,3-dicarboxypropyl)-L-lysine + NAD(+) + H(2)O = L-lysine + 2-oxoglutarate + NADH.",\N,Saccharopinuria; MIM:268700.,Lysine degradation,Amino Acid Metabolism,METABOLIC
3653,2.6.1.2,Alanine aminotransferase.,L-alanine + 2-oxoglutarate = pyruvate + L-glutamate.,Pyridoxal-phosphate.,\N,Alanine and aspartate metabolism,Amino Acid Metabolism,METABOLIC
3653,2.6.1.2,Alanine aminotransferase.,L-alanine + 2-oxoglutarate = pyruvate + L-glutamate.,Pyridoxal-phosphate.,\N,Carbon fixation,Energy Metabolism,METABOLIC
3653,2.6.1.2,Alanine aminotransferase.,L-alanine + 2-oxoglutarate = pyruvate + L-glutamate.,Pyridoxal-phosphate.,\N,Glutamate metabolism,Amino Acid Metabolism,METABOLIC
3661,3.1.3.11,Fructose-bisphosphatase.,"D-fructose 1,6-bisphosphate + H(2)O = D-fructose 6-phosphate + phosphate.",\N,"Fructose-1,6-bisphosphatase deficiency; MIM:229700.",Glycolysis / Gluconeogenesis,Carbohydrate Metabolism,METABOLIC
3661,3.1.3.11,Fructose-bisphosphatase.,"D-fructose 1,6-bisphosphate + H(2)O = D-fructose 6-phosphate + phosphate.",\N,"Fructose-1,6-bisphosphatase deficiency; MIM:229700.",Carbon fixation,Energy Metabolism,METABOLIC
3661,3.1.3.11,Fructose-bisphosphatase.,"D-fructose 1,6-bisphosphate + H(2)O = D-fructose 6-phosphate + phosphate.",\N,"Fructose-1,6-bisphosphatase deficiency; MIM:229700.",Pentose phosphate pathway,Carbohydrate Metabolism,METABOLIC
3661,3.1.3.11,Fructose-bisphosphatase.,"D-fructose 1,6-bisphosphate + H(2)O = D-fructose 6-phosphate + phosphate.",\N,"Fructose-1,6-bisphosphatase deficiency; MIM:229700.",Fructose and mannose metabolism,Carbohydrate Metabolism,METABOLIC
3666,1.14.13.-,"With NADH or NADPH as one donor, and incorporation of one atom",\N,\N,\N,Methane metabolism,Energy Metabolism,METABOLIC
3666,1.14.13.-,"With NADH or NADPH as one donor, and incorporation of one atom",\N,\N,\N,Phenylalanine metabolism,Amino Acid Metabolism,METABOLIC
3666,1.14.13.-,"With NADH or NADPH as one donor, and incorporation of one atom",\N,\N,\N,Ubiquinone biosynthesis,Metabolism of Cofactors and Vitamins,METABOLIC
3666,1.14.13.-,"With NADH or NADPH as one donor, and incorporation of one atom",\N,\N,\N,Alkaloid biosynthesis I,Biosynthesis of Secondary Metabolites,METABOLIC
3666,1.14.13.-,"With NADH or NADPH as one donor, and incorporation of one atom",\N,\N,\N,Styrene degradation,Biodegradation of Xenobiotics,METABOLIC
3666,1.14.13.-,"With NADH or NADPH as one donor, and incorporation of one atom",\N,\N,\N,Tryptophan metabolism,Amino Acid Metabolism,METABOLIC
3666,1.14.13.-,"With NADH or NADPH as one donor, and incorporation of one atom",\N,\N,\N,Androgen and estrogen metabolism,Lipid Metabolism,METABOLIC
3666,1.14.13.-,"With NADH or NADPH as one donor, and incorporation of one atom",\N,\N,\N,Sterol biosynthesis,Lipid Metabolism,METABOLIC
3666,1.14.13.-,"With NADH or NADPH as one donor, and incorporation of one atom",\N,\N,\N,"1,4-Dichlorobenzene degradation",Biodegradation of Xenobiotics,METABOLIC
3666,1.14.13.-,"With NADH or NADPH as one donor, and incorporation of one atom",\N,\N,\N,Tyrosine metabolism,Amino Acid Metabolism,METABOLIC
3666,1.14.13.-,"With NADH or NADPH as one donor, and incorporation of one atom",\N,\N,\N,Bile acid biosynthesis,Lipid Metabolism,METABOLIC
3666,1.14.13.-,"With NADH or NADPH as one donor, and incorporation of one atom",\N,\N,\N,"Flavonoids, stilbene and lignin biosynthesis",Biosynthesis of Secondary Metabolites,METABOLIC
3666,1.14.13.-,"With NADH or NADPH as one donor, and incorporation of one atom",\N,\N,\N,Histidine metabolism,Amino Acid Metabolism,METABOLIC
3666,1.14.13.-,"With NADH or NADPH as one donor, and incorporation of one atom",\N,\N,\N,gamma-Hexachlorocyclohexane degradation,Biodegradation of Xenobiotics,METABOLIC
3674,5.2.1.8,Peptidylprolyl isomerase.,Peptidylproline (omega=180) = peptidylproline (omega=0).,\N,\N,\N,\N,\N
3676,1.1.-.-,Acting on the CH-OH group of donors.,\N,\N,\N,Benzoate degradation via CoA ligation,Biodegradation of Xenobiotics,METABOLIC
3676,1.1.-.-,Acting on the CH-OH group of donors.,\N,\N,\N,Ethylbenzene degradation,Biodegradation of Xenobiotics,METABOLIC
3684,1.1.1.157,3-hydroxybutyryl-CoA dehydrogenase.,(S)-3-hydroxybutanoyl-CoA + NADP(+) = 3-acetoacetyl-CoA + NADPH.,\N,\N,Butanoate metabolism,Carbohydrate Metabolism,METABOLIC
3684,1.1.1.157,3-hydroxybutyryl-CoA dehydrogenase.,(S)-3-hydroxybutanoyl-CoA + NADP(+) = 3-acetoacetyl-CoA + NADPH.,\N,\N,Benzoate degradation via CoA ligation,Biodegradation of Xenobiotics,METABOLIC
3686,4.2.1.9,Dihydroxy-acid dehydratase.,"2,3-dihydroxy-3-methylbutanoate = 3-methyl-2-oxobutanoate + H(2)O.",\N,\N,Pantothenate and CoA biosynthesis,Metabolism of Cofactors and Vitamins,METABOLIC
3686,4.2.1.9,Dihydroxy-acid dehydratase.,"2,3-dihydroxy-3-methylbutanoate = 3-methyl-2-oxobutanoate + H(2)O.",\N,\N,"Valine, leucine and isoleucine biosynthesis",Amino Acid Metabolism,METABOLIC
3687,1.3.1.21,7-dehydrocholesterol reductase.,"Cholesterol + NADP(+) = cholesta-5,7-dien-3-beta-ol + NADPH.",\N,\N,Sterol biosynthesis,Lipid Metabolism,METABOLIC
3688,3.1.2.-,Thiolester hydrolases.,\N,\N,\N,Benzoate degradation via CoA ligation,Biodegradation of Xenobiotics,METABOLIC
3705,6.3.2.19,Ubiquitin--protein ligase.,ATP + ubiquitin + protein lysine = AMP + diphosphate + protein N-ubiquityllysine.,\N,\N,\N,\N,\N
3708,2.7.8.8,CDP-diacylglycerol--serine O-phosphatidyltransferase.,CDP-diacylglycerol + L-serine = CMP + O-sn-phosphatidyl-L-serine.,\N,\N,"Glycine, serine and threonine metabolism",Amino Acid Metabolism,METABOLIC
3708,2.7.8.8,CDP-diacylglycerol--serine O-phosphatidyltransferase.,CDP-diacylglycerol + L-serine = CMP + O-sn-phosphatidyl-L-serine.,\N,\N,Glycerolipid metabolism,Metabolism of Complex Lipids,METABOLIC
3710,6.1.1.3,Threonine--tRNA ligase.,ATP + L-threonine + tRNA(Thr) = AMP + diphosphate + L-threonyl- tRNA(Thr).,\N,\N,"Glycine, serine and threonine metabolism",Amino Acid Metabolism,METABOLIC
3710,6.1.1.3,Threonine--tRNA ligase.,ATP + L-threonine + tRNA(Thr) = AMP + diphosphate + L-threonyl- tRNA(Thr).,\N,\N,  Aminoacyl-tRNA biosynthesis,TRANSLATION,REGULATORY
3714,1.1.1.29,Glycerate dehydrogenase.,(R)-glycerate + NAD(+) = hydroxypyruvate + NADH.,\N,Oxalosis II (glycericaciduria); MIM:260000.,Glyoxylate and dicarboxylate metabolism,Carbohydrate Metabolism,METABOLIC
3714,1.1.1.29,Glycerate dehydrogenase.,(R)-glycerate + NAD(+) = hydroxypyruvate + NADH.,\N,Oxalosis II (glycericaciduria); MIM:260000.,"Glycine, serine and threonine metabolism",Amino Acid Metabolism,METABOLIC
3715,2.7.7.6,DNA-directed RNA polymerase.,N nucleoside triphosphate = N diphosphate + {RNA}(N).,\N,\N,  RNA polymerase,TRANSCRIPTION,REGULATORY
3715,2.7.7.6,DNA-directed RNA polymerase.,N nucleoside triphosphate = N diphosphate + {RNA}(N).,\N,\N,Purine metabolism,Nucleotide Metabolism,METABOLIC
3715,2.7.7.6,DNA-directed RNA polymerase.,N nucleoside triphosphate = N diphosphate + {RNA}(N).,\N,\N,Pyrimidine metabolism,Nucleotide Metabolism,METABOLIC
3726,6.3.2.19,Ubiquitin--protein ligase.,ATP + ubiquitin + protein lysine = AMP + diphosphate + protein N-ubiquityllysine.,\N,\N,\N,\N,\N
3732,3.5.1.-,In linear amides.,\N,\N,\N,Nicotinate and nicotinamide metabolism,Metabolism of Cofactors and Vitamins,METABOLIC
3732,3.5.1.-,In linear amides.,\N,\N,\N,Pantothenate and CoA biosynthesis,Metabolism of Cofactors and Vitamins,METABOLIC
3732,3.5.1.-,In linear amides.,\N,\N,\N,Arginine and proline metabolism,Amino Acid Metabolism,METABOLIC
3732,3.5.1.-,In linear amides.,\N,\N,\N,Lipopolysaccharide biosynthesis,Metabolism of Complex Carbohydrates,METABOLIC
3737,1.97.1.4,Formate acetyltransferase activating enzyme.,S-adenosyl-L-methionine + dihydroflavodoxin + [formate acetyltransferase]-glycine = 5'-deoxyadenosine + methionine + flavodoxin + [formate acetyltransferase]-glycine-2-yl radical.,Iron-sulfur.,\N,\N,\N,\N
3738,2.7.7.7,DNA-directed DNA polymerase.,N deoxynucleoside triphosphate = N diphosphate + {DNA}(N).,\N,\N,Purine metabolism,Nucleotide Metabolism,METABOLIC
3738,2.7.7.7,DNA-directed DNA polymerase.,N deoxynucleoside triphosphate = N diphosphate + {DNA}(N).,\N,\N,  DNA polymerase,REPLICATION AND REPAIR,REGULATORY
3738,2.7.7.7,DNA-directed DNA polymerase.,N deoxynucleoside triphosphate = N diphosphate + {DNA}(N).,\N,\N,Pyrimidine metabolism,Nucleotide Metabolism,METABOLIC
3745,1.14.13.1,Salicylate 1-monooxygenase.,Salicylate + NADH + O(2) = catechol + NAD(+) + H(2)O + CO(2).,FAD.,\N,Fluorene degradation,Biodegradation of Xenobiotics,METABOLIC
3745,1.14.13.1,Salicylate 1-monooxygenase.,Salicylate + NADH + O(2) = catechol + NAD(+) + H(2)O + CO(2).,FAD.,\N,Nitorobenzene degradation,Biodegradation of Xenobiotics,METABOLIC
3755,4.4.1.17,Holocytochrome-c synthase.,Holocytochrome c = apocytochrome c + heme.,\N,\N,Porphyrin and chlorophyll metabolism,Metabolism of Cofactors and Vitamins,METABOLIC
3756,4.1.1.33,Diphosphomevalonate decarboxylase.,ATP + (R)-5-diphosphomevalonate = ADP + phosphate + isopentenyl diphosphate + CO(2).,\N,\N,Sterol biosynthesis,Lipid Metabolism,METABOLIC
3757,1.14.13.22,Cyclohexanone monooxygenase.,Cyclohexanone + NADPH + O(2) = 6-hexanolide + NADP(+) + H(2)O.,FAD.,\N,Caprolactam degradation,Biodegradation of Xenobiotics,METABOLIC
3759,2.6.1.62,Adenosylmethionine--8-amino-7-oxononanoate aminotransferase.,"S-adenosyl-L-methionine + 8-amino-7-oxononanoate = S-adenosyl-4- methylthio-2-oxobutanoate + 7,8-diaminononanoate.",Pyridoxal-phosphate.,\N,Biotin metabolism,Metabolism of Cofactors and Vitamins,METABOLIC
3762,3.4.24.-,Metalloendopeptidases.,\N,\N,\N,\N,\N,\N
3768,6.2.1.12,4-coumarate--CoA ligase.,ATP + 4-coumarate + CoA = AMP + diphosphate + 4-coumaroyl-CoA.,\N,\N,"Flavonoids, stilbene and lignin biosynthesis",Biosynthesis of Secondary Metabolites,METABOLIC
3771,1.1.1.100,3-oxoacyl-[acyl-carrier protein] reductase.,(3R)-3-hydroxyacyl-[acyl-carrier protein] + NADP(+) = 3-oxoacyl- [acyl-carrier protein] + NADPH.,\N,\N,Fatty acid biosynthesis (path 1),Lipid Metabolism,METABOLIC
3774,2.1.1.10,Homocysteine S-methyltransferase.,S-adenosyl-L-methionine + L-homocysteine = S-adenosyl-L-homocysteine + L-methionine.,\N,\N,Methionine metabolism,Amino Acid Metabolism,METABOLIC
3775,2.1.3.3,Ornithine carbamoyltransferase.,Carbamoyl phosphate + L-ornithine = phosphate + L-citrulline.,\N,Ornithine transcarbamylase deficiency; MIM:311250.,Urea cycle and metabolism of amino groups,Amino Acid Metabolism,METABOLIC
3775,2.1.3.3,Ornithine carbamoyltransferase.,Carbamoyl phosphate + L-ornithine = phosphate + L-citrulline.,\N,Ornithine transcarbamylase deficiency; MIM:311250.,Arginine and proline metabolism,Amino Acid Metabolism,METABOLIC
3782,4.2.1.24,Porphobilinogen synthase.,2 5-aminolevulinate = porphobilinogen + 2 H(2)O.,Zinc.,Susceptibility to lead poisoning; MIM:125270. Acute hepatic porphyria; MIM:125270.,Porphyrin and chlorophyll metabolism,Metabolism of Cofactors and Vitamins,METABOLIC
3783,3.2.1.113,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase.","Hydrolysis of the terminal 1,2-linked alpha-D-mannose residues in the oligo-mannose oligosaccharide Man(9)(GlcNAc)(2).",\N,\N,N-Glycans biosynthesis,Metabolism of Complex Carbohydrates,METABOLIC
3800,4.2.1.18,Methylglutaconyl-CoA hydratase.,(S)-3-hydroxy-3-methylglutaryl-CoA = trans-3-methylglutaconyl-CoA + H(2)O.,\N,3-methylglutaconicaciduria; MIM:250950.,"Valine, leucine and isoleucine degradation",Amino Acid Metabolism,METABOLIC
3803,1.10.3.3,L-ascorbate oxidase.,2 L-ascorbate + O(2) = 2 dehydroascorbate + 2 H(2)O.,Copper.,\N,Ascorbate and aldarate metabolism,Carbohydrate Metabolism,METABOLIC
3805,2.7.2.11,Glutamate 5-kinase.,ATP + L-glutamate = ADP + L-glutamate 5-phosphate.,\N,\N,Urea cycle and metabolism of amino groups,Amino Acid Metabolism,METABOLIC
3811,3.2.1.14,Chitinase.,"Hydrolysis of the 1,4-beta-linkages of N-acetyl-D-glucosamine polymers of chitin.",\N,\N,Aminosugars metabolism,Metabolism of Complex Carbohydrates,METABOLIC
3814,3.4.24.-,Metalloendopeptidases.,\N,\N,\N,\N,\N,\N
3817,2.3.1.88,Peptide alpha-N-acetyltransferase.,Acetyl-CoA + peptide = CoA + N-acetylpeptide.,\N,\N,\N,\N,\N
3822,3.5.1.23,Ceramidase.,N-acylsphingosine + H(2)O = a fatty acid + sphingosine.,\N,\N,Sphingoglycolipid metabolism,Metabolism of Complex Lipids,METABOLIC
3828,2.5.1.18,Glutathione transferase.,RX + glutathione = HX + R-S-glutathione.,\N,\N,Glutathione metabolism,Metabolism of Other Amino Acids,METABOLIC
3831,1.14.11.13,Gibberellin 2-beta-dioxygenase.,Gibberellin 1 + 2-oxoglutarate + O(2) = 2-beta-hydroxygibberellin 1 + succinate + CO(2).,\N,\N,\N,\N,\N
3834,2.5.1.18,Glutathione transferase.,RX + glutathione = HX + R-S-glutathione.,\N,\N,Glutathione metabolism,Metabolism of Other Amino Acids,METABOLIC
3837,2.6.1.1,Aspartate aminotransferase.,L-aspartate + 2-oxoglutarate = oxaloacetate + L-glutamate.,Pyridoxal-phosphate.,\N,Alanine and aspartate metabolism,Amino Acid Metabolism,METABOLIC
3837,2.6.1.1,Aspartate aminotransferase.,L-aspartate + 2-oxoglutarate = oxaloacetate + L-glutamate.,Pyridoxal-phosphate.,\N,Phenylalanine metabolism,Amino Acid Metabolism,METABOLIC
3837,2.6.1.1,Aspartate aminotransferase.,L-aspartate + 2-oxoglutarate = oxaloacetate + L-glutamate.,Pyridoxal-phosphate.,\N,Arginine and proline metabolism,Amino Acid Metabolism,METABOLIC
3837,2.6.1.1,Aspartate aminotransferase.,L-aspartate + 2-oxoglutarate = oxaloacetate + L-glutamate.,Pyridoxal-phosphate.,\N,Cysteine metabolism,Amino Acid Metabolism,METABOLIC
3837,2.6.1.1,Aspartate aminotransferase.,L-aspartate + 2-oxoglutarate = oxaloacetate + L-glutamate.,Pyridoxal-phosphate.,\N,Tyrosine metabolism,Amino Acid Metabolism,METABOLIC
3837,2.6.1.1,Aspartate aminotransferase.,L-aspartate + 2-oxoglutarate = oxaloacetate + L-glutamate.,Pyridoxal-phosphate.,\N,Alkaloid biosynthesis I,Biosynthesis of Secondary Metabolites,METABOLIC
3837,2.6.1.1,Aspartate aminotransferase.,L-aspartate + 2-oxoglutarate = oxaloacetate + L-glutamate.,Pyridoxal-phosphate.,\N,Carbon fixation,Energy Metabolism,METABOLIC
3837,2.6.1.1,Aspartate aminotransferase.,L-aspartate + 2-oxoglutarate = oxaloacetate + L-glutamate.,Pyridoxal-phosphate.,\N,"Phenylalanine, tyrosine and tryptophan biosynthesis",Amino Acid Metabolism,METABOLIC
3837,2.6.1.1,Aspartate aminotransferase.,L-aspartate + 2-oxoglutarate = oxaloacetate + L-glutamate.,Pyridoxal-phosphate.,\N,Glutamate metabolism,Amino Acid Metabolism,METABOLIC
3838,3.5.2.9,5-oxoprolinase (ATP-hydrolysing).,ATP + 5-oxo-L-proline + 2 H(2)O = ADP + phosphate + L-glutamate.,\N,\N,Glutathione metabolism,Metabolism of Other Amino Acids,METABOLIC
3840,1.1.3.13,Alcohol oxidase.,A primary alcohol + O(2) = an aldehyde + H(2)O(2).,FAD.,\N,Methane metabolism,Energy Metabolism,METABOLIC
3842,1.14.13.8,Dimethylaniline monooxygenase (N-oxide forming).,"N,N-dimethylaniline + NADPH + O(2) = N,N-dimethylaniline N-oxide + NADP(+) + H(2)O.",FAD.,"Trimethylaminuria; MIM:602079,",\N,\N,\N
3843,2.1.1.109,Demethylsterigmatocystin 6-O-methyltransferase.,S-adenosyl-L-methionine + 6-demethylsterigmatocystin = S-adenosyl- L-homocysteine + sterigmatocystin.,\N,\N,\N,\N,\N
3847,3.1.1.29,Aminoacyl-tRNA hydrolase.,N-substituted aminoacyl-tRNA + H(2)O = N-substituted amino acid + tRNA.,\N,\N,\N,\N,\N
3850,4.2.1.-,Hydro-lyases.,\N,\N,\N,Tetrachloroethene degradation,Biodegradation of Xenobiotics,METABOLIC
3850,4.2.1.-,Hydro-lyases.,\N,\N,\N,Benzoate degradation via CoA ligation,Biodegradation of Xenobiotics,METABOLIC
3850,4.2.1.-,Hydro-lyases.,\N,\N,\N,Tyrosine metabolism,Amino Acid Metabolism,METABOLIC
3850,4.2.1.-,Hydro-lyases.,\N,\N,\N,Cyanoamino acid metabolism,Metabolism of Other Amino Acids,METABOLIC
3850,4.2.1.-,Hydro-lyases.,\N,\N,\N,Bile acid biosynthesis,Lipid Metabolism,METABOLIC
3850,4.2.1.-,Hydro-lyases.,\N,\N,\N,Benzoate degradation via hydroxylation,Biodegradation of Xenobiotics,METABOLIC
3850,4.2.1.-,Hydro-lyases.,\N,\N,\N,Butanoate metabolism,Carbohydrate Metabolism,METABOLIC
3850,4.2.1.-,Hydro-lyases.,\N,\N,\N,Fructose and mannose metabolism,Carbohydrate Metabolism,METABOLIC
3850,4.2.1.-,Hydro-lyases.,\N,\N,\N,Toluene and xylene degradation,Biodegradation of Xenobiotics,METABOLIC
3850,4.2.1.-,Hydro-lyases.,\N,\N,\N,Ubiquinone biosynthesis,Metabolism of Cofactors and Vitamins,METABOLIC
3855,6.2.1.12,4-coumarate--CoA ligase.,ATP + 4-coumarate + CoA = AMP + diphosphate + 4-coumaroyl-CoA.,\N,\N,"Flavonoids, stilbene and lignin biosynthesis",Biosynthesis of Secondary Metabolites,METABOLIC
3857,1.15.1.1,Superoxide dismutase.,2 peroxide radical + 2 H(+) = O(2) + H(2)O(2).,Copper and Zinc or Iron or Manganese.,\N,\N,\N,\N
3860,3.1.3.43,[Pyruvate dehydrogenase (lipoamide)]-phosphatase.,[Pyruvate dehydrogenase (lipoamide)] phosphate + H(2)O = [pyruvate dehydrogenase (lipoamide)] + phosphate.,\N,\N,\N,\N,\N
3865,3.4.23.5,Cathepsin D.,"Specificity similar to, but narrower than, that of pepsin A. Does not cleave the 4-Gln-|-His-5 bond in B chain of insulin.",\N,\N,\N,\N,\N
3871,1.1.1.1,Alcohol dehydrogenase.,An alcohol + NAD(+) = an aldehyde or ketone + NADH.,Zinc or Iron.,\N,Bile acid biosynthesis,Lipid Metabolism,METABOLIC
3871,1.1.1.1,Alcohol dehydrogenase.,An alcohol + NAD(+) = an aldehyde or ketone + NADH.,Zinc or Iron.,\N,Tyrosine metabolism,Amino Acid Metabolism,METABOLIC
3871,1.1.1.1,Alcohol dehydrogenase.,An alcohol + NAD(+) = an aldehyde or ketone + NADH.,Zinc or Iron.,\N,Glycerolipid metabolism,Metabolism of Complex Lipids,METABOLIC
3871,1.1.1.1,Alcohol dehydrogenase.,An alcohol + NAD(+) = an aldehyde or ketone + NADH.,Zinc or Iron.,\N,Glycolysis / Gluconeogenesis,Carbohydrate Metabolism,METABOLIC
3871,1.1.1.1,Alcohol dehydrogenase.,An alcohol + NAD(+) = an aldehyde or ketone + NADH.,Zinc or Iron.,\N,Fatty acid metabolism,Lipid Metabolism,METABOLIC
3879,1.1.1.252,Tetrahydroxynaphthalene reductase.,"Scytalone + NADP(+) = 1,3,6,8-tetrahydroxynaphthalene + NADPH.",\N,\N,\N,\N,\N
3880,2.1.2.9,Methionyl-tRNA formyltransferase.,10-formyltetrahydrofolate + L-methionyl-tRNA + H(2)O = tetrahydrofolate + N-formylmethionyl-tRNA.,\N,\N,One carbon pool by folate,Metabolism of Cofactors and Vitamins,METABOLIC
3880,2.1.2.9,Methionyl-tRNA formyltransferase.,10-formyltetrahydrofolate + L-methionyl-tRNA + H(2)O = tetrahydrofolate + N-formylmethionyl-tRNA.,\N,\N,  Aminoacyl-tRNA biosynthesis,TRANSLATION,REGULATORY
3880,2.1.2.9,Methionyl-tRNA formyltransferase.,10-formyltetrahydrofolate + L-methionyl-tRNA + H(2)O = tetrahydrofolate + N-formylmethionyl-tRNA.,\N,\N,Methionine metabolism,Amino Acid Metabolism,METABOLIC
3907,2.7.1.68,1-phosphatidylinositol-4-phosphate kinase.,"ATP + 1-phosphatidyl-1D-myo-inositol 4-monophosphate = ADP + 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate.",\N,\N,Inositol phosphate metabolism,Metabolism of Complex Lipids,METABOLIC
3912,2.5.1.39,4-hydroxybenzoate nonaprenyltransferase.,Solanesyl diphosphate + 4-hydroxybenzoate = diphosphate + nonaprenyl-4-hydroxybenzoate.,\N,\N,Ubiquinone biosynthesis,Metabolism of Cofactors and Vitamins,METABOLIC
3913,4.1.1.36,Phosphopantothenoylcysteine decarboxylase.,N-((R)-4-phosphopantothenoyl)-L-cysteine = pantotheine 4'-phosphate + CO(2).,Pyruvate.,\N,Pantothenate and CoA biosynthesis,Metabolism of Cofactors and Vitamins,METABOLIC
3915,2.6.1.42,Branched-chain amino acid aminotransferase.,L-leucine + 2-oxoglutarate = 4-methyl-2-oxopentanoate + L-glutamate.,Pyridoxal-phosphate.,\N,"Valine, leucine and isoleucine biosynthesis",Amino Acid Metabolism,METABOLIC
3915,2.6.1.42,Branched-chain amino acid aminotransferase.,L-leucine + 2-oxoglutarate = 4-methyl-2-oxopentanoate + L-glutamate.,Pyridoxal-phosphate.,\N,"Valine, leucine and isoleucine degradation",Amino Acid Metabolism,METABOLIC
3915,2.6.1.42,Branched-chain amino acid aminotransferase.,L-leucine + 2-oxoglutarate = 4-methyl-2-oxopentanoate + L-glutamate.,Pyridoxal-phosphate.,\N,Pantothenate and CoA biosynthesis,Metabolism of Cofactors and Vitamins,METABOLIC
3923,6.3.2.19,Ubiquitin--protein ligase.,ATP + ubiquitin + protein lysine = AMP + diphosphate + protein N-ubiquityllysine.,\N,\N,\N,\N,\N
3928,3.2.1.20,Alpha-glucosidase.,"Hydrolysis of terminal, non-reducing 1,4-linked D-glucose residues with release of D-glucose.",\N,Glycogen storage disease II; MIM:232300.,Galactose metabolism,Carbohydrate Metabolism,METABOLIC
3928,3.2.1.20,Alpha-glucosidase.,"Hydrolysis of terminal, non-reducing 1,4-linked D-glucose residues with release of D-glucose.",\N,Glycogen storage disease II; MIM:232300.,Starch and sucrose metabolism,Metabolism of Complex Carbohydrates,METABOLIC
3929,3.7.1.2,Fumarylacetoacetase.,4-fumarylacetoacetate + H(2)O = acetoacetate + fumarate.,\N,Tyrosinemia I; MIM:276700.,Tyrosine metabolism,Amino Acid Metabolism,METABOLIC
3929,3.7.1.2,Fumarylacetoacetase.,4-fumarylacetoacetate + H(2)O = acetoacetate + fumarate.,\N,Tyrosinemia I; MIM:276700.,Styrene degradation,Biodegradation of Xenobiotics,METABOLIC
3930,1.14.13.-,"With NADH or NADPH as one donor, and incorporation of one atom",\N,\N,\N,Methane metabolism,Energy Metabolism,METABOLIC
